2025-01-02 13:35:53,542 - INFO -  mispelled: ['éco'] in Sous-filières, matériaux et produits liés à l'éco-construction.
2025-01-02 13:35:53,576 - INFO -  mispelled: ['ECSO'] in Produits et services du marché cybersécurité établi par l’Europe. ECSO market taxonomy.
2025-01-02 13:35:53,623 - INFO -  mispelled: ['S3'] in La Stratégie de Spécialisation Intelligente (S3) est un outil stratégique de la politique régionale d'innovation et de transformation de la structure économique, pour l'adapter aux transitions industrielles et répondre aux grands défis sociétaux. La S3 repose sur le principe selon lequel chaque région européenne doit concentrer ses ressources sur les Domaines d'Innovation Stratégique (DIS) pour lesquels elle a les meilleurs atouts par rapport aux autres régions.
2025-01-02 13:35:53,673 - INFO -  mispelled: ['coworking'] in Chèques de soutien à la transformation numérique, à la cybersécurité et au coworking.
2025-01-02 13:35:53,702 - INFO -  mispelled: ['EPN', 'labélisés', 'Ecoles'] in Ecoles des différents réseaux d'enseignements présents en Wallonie et Espaces Publics Numériques labélisés "EPN de Wallonie".
2025-01-02 13:35:53,724 - INFO -  mispelled: ['Wallonia', 'Digitial'] in Lauréats et distingués par un award des différents programmes Digitial Wallonia.
2025-01-02 13:35:53,804 - INFO -  mispelled: ['Wallonia'] in Chaînes de valeurs identifiés comme prioritaire par le Gouvernement wallon dans le cadre de la Stratégie Régionale en économie circulaire, Circular Wallonia.
2025-01-02 13:35:53,841 - INFO -  mispelled: ['sidentielle', 'ge', '́', 'othermie', '̀'] in Production d'énergie renouvelable issue du soleil thermique, de la biomasse résidentielle, des pompes à chaleur et de la géothermie.
2025-01-02 13:35:53,869 - INFO -  mispelled: ['smartgrids'] in Chaîne de valeur verticale présentant les spécificités des smartgrids.
2025-01-02 13:35:53,885 - INFO -  mispelled: ['sépcialisé'] in Enseignement supérieur sépcialisé en cybersécurité.
2025-01-02 13:35:53,930 - INFO -  mispelled: ['aaS', 'Takedown', 'CSRIT'] in Réduction d'impact d'incident afin de pouvoir permettre aux services attaqués de rester disponibles (DDoS protection, Incident Response Services (CSRIT aaS), Takedown Services).
2025-01-02 13:35:53,978 - INFO -  mispelled: ['Etat'] in Professions et secteurs d’activité ne dépendant pas de l’État, du moins, où l’Etat n’est pas employeur et n'intervient qu'en tant que cadre juridique et référent légal.
2025-01-02 13:35:54,055 - INFO -  mispelled: ['B2B', 'B2C'] in Types de clients auxquels le fournisseur s'adresse : particuliers (B2C) ou entreprises (B2B).
2025-01-02 13:35:54,124 - INFO -  mispelled: ['agro'] in Ce DIS regroupe les activités innovantes pour soutenir l'émergence de produits et services à haute valeur ajoutée et haut potentiel de marché au sein d'un système agro-alimentaire durable.
2025-01-02 13:35:54,141 - INFO -  mispelled: ['IIS'] in Les IIS sont définies comme des ensembles cohérents et à masse critique suffisante d'activités et projets fédérant les forces distinctives et acteurs pertinents en réponse à une ou plusieurs ambitions d'un ou de plusieurs DIS.
2025-01-02 13:35:54,277 - INFO -  mispelled: ['HVAC'] in Les 4 chèques Énergie "Audit partiel" vous permettent de vous faire aider par des Experts reconnus par la Région Wallonne, sur base du régime d'aide AMURE. Dans un audit partiel, l'analyse est focalisée sur l'une des thématiques suivantes : Le bâtiment (y compris les techniques HVAC), l'éclairage, les processus industriels, le recours aux énergies renouvelables et à la cogénération.
2025-01-02 13:35:54,306 - INFO -  mispelled: ['HVAC'] in Les 4 chèques Énergie "Audit partiel" vous permettent de vous faire aider par des Experts reconnus par la Région Wallonne, sur base du régime d'aide AMURE. Dans un audit partiel, l'analyse est focalisée sur l'une des thématiques suivantes : Le bâtiment (y compris les techniques HVAC), l'éclairage, les processus industriels, le recours aux énergies renouvelables et à la cogénération.
2025-01-02 13:35:54,325 - INFO -  mispelled: ['HVAC'] in Les 4 chèques Énergie "Audit partiel" vous permettent de vous faire aider par des Experts reconnus par la Région Wallonne, sur base du régime d'aide AMURE. Dans un audit partiel, l'analyse est focalisée sur l'une des thématiques suivantes : Le bâtiment (y compris les techniques HVAC), l'éclairage, les processus industriels, le recours aux énergies renouvelables et à la cogénération.
2025-01-02 13:35:54,358 - INFO -  mispelled: ['HVAC'] in Les 4 chèques Énergie "Audit partiel" vous permettent de vous faire aider par des Experts reconnus par la Région Wallonne, sur base du régime d'aide AMURE. Dans un audit partiel, l'analyse est focalisée sur l'une des thématiques suivantes : Le bâtiment (y compris les techniques HVAC), l'éclairage, les processus industriels, le recours aux énergies renouvelables et à la cogénération.
2025-01-02 13:35:54,406 - INFO -  mispelled: ['préfaisabilité', 'Préfaisabilité', 'HVAC'] in Les 4 chèques Énergie "Étude de Préfaisabilité" permettent de se faire aider par des Experts reconnus par la Région Wallonne, sur base du régime d'aide AMURE. Dans une Étude de préfaisabilité, l'analyse est focalisée sur l'une des thématiques suivantes : Le bâtiment (y compris l'HVAC), l'éclairage, les processus industriels, le recours aux énergies renouvelables et à la cogénération.
2025-01-02 13:35:54,442 - INFO -  mispelled: ['préfaisabilité', 'Préfaisabilité', 'HVAC'] in Les 4 chèques Énergie "Étude de Préfaisabilité" permettent de se faire aider par des Experts reconnus par la Région Wallonne, sur base du régime d'aide AMURE. Dans une Étude de préfaisabilité, l'analyse est focalisée sur l'une des thématiques suivantes : Le bâtiment (y compris l'HVAC), l'éclairage, les processus industriels, le recours aux énergies renouvelables et à la cogénération.
2025-01-02 13:35:54,461 - INFO -  mispelled: ['préfaisabilité', 'Préfaisabilité', 'HVAC'] in Les 4 chèques Énergie "Étude de Préfaisabilité" permettent de se faire aider par des Experts reconnus par la Région Wallonne, sur base du régime d'aide AMURE. Dans une Étude de préfaisabilité, l'analyse est focalisée sur l'une des thématiques suivantes : Le bâtiment (y compris l'HVAC), l'éclairage, les processus industriels, le recours aux énergies renouvelables et à la cogénération.
2025-01-02 13:35:54,493 - INFO -  mispelled: ['préfaisabilité', 'Préfaisabilité', 'HVAC'] in Les 4 chèques Énergie "Étude de Préfaisabilité" permettent de se faire aider par des Experts reconnus par la Région Wallonne, sur base du régime d'aide AMURE. Dans une Étude de préfaisabilité, l'analyse est focalisée sur l'une des thématiques suivantes : Le bâtiment (y compris l'HVAC), l'éclairage, les processus industriels, le recours aux énergies renouvelables et à la cogénération.
2025-01-02 13:35:54,546 - INFO -  mispelled: ['AWEX'] in Labellisation permettant d'accompagner des PME wallonnes dans leur projet de relance à l'international dans le cadre de la mesure "Chèques entreprises à l'internationalisation". L’AWEX prend en charge 75 % des honoraires (de maximum 750 euros par jour), le solde étant à charge de l'entreprise. La durée maximum d'une mission est de 6 mois.
2025-01-02 13:35:54,627 - INFO -  mispelled: ['BelgianAIWeek'] in Acteurs, événements et publications liés à la semaine belge de l'intelligence artificielle #BelgianAIWeek organisée du 15 au 19 mars 2021.
2025-01-02 13:35:54,715 - INFO -  mispelled: ['Libramont', 'Wallonia'] in Entreprises wallonnes présentes à la Foire de Libramont dans l'espace Smart Farming by Digital Wallonia, à Libramont du 28 au 31 juillet 2017. La Foire agricole, forestière et agroalimentaire de Libramont est une gigantesque exposition en plein air qui accueille chaque année plus de 220 000 visiteurs, 800 exposants.
2025-01-02 13:35:54,732 - INFO -  mispelled: ['Libramont', '́', '̀', 'forestie', 'Wallonia'] in Entreprises wallonnes présentes à la Foire de Libramont dans l'espace Smart Farming by Digital Wallonia, à Libramont du 27 au 30 juillet 2018. La Foire agricole, forestière et agroalimentaire de Libramont est une exposition en plein air accueillant plus de 250.000 visiteurs et 800 exposants.
2025-01-02 13:35:54,758 - INFO -  mispelled: ['Libramont', '́', '̀', 'forestie', 'Wallonia'] in Entreprises wallonnes présentes à la Foire de Libramont dans l'espace Smart Farming by Digital Wallonia, à Libramont du 26 au 29 juillet 2019. La Foire agricole, forestière et agroalimentaire de Libramont est une exposition en plein air accueillant plus de 250.000 visiteurs et 800 exposants.
2025-01-02 13:35:54,774 - INFO -  mispelled: ['48h'] in La "Kiss Your teacher Game Jam" est morte : Vive "La Kiss" ! Après 7 éditions de la Kiss Your Teacher (game jam à visée éducative), La Kiss (48h pour expérimenter le développement d’un proto) est née pour mieux répondre aux attentes des participants. La Kiss est une Game Jam qui vise la montée en compétences professionnelles des participants avec, le cas échéant, une visée entrepreneuriale. Du coaching par des professionnels est ainsi proposé durant la game jam et un accompagnement à la création d’entreprise est possible dans la foulée.
